model,accuracy,macro_f1
knn_k=3,0.518918918918919,0.11404176630001596
linear_svm_C=10.0,0.6162162162162163,0.10841385442689587
knn_k=1,0.4864864864864865,0.08564878415733036
linear_svm_C=1.0,0.6162162162162163,0.08165214035313414
logreg_C=10.0,0.6216216216216216,0.08064456104470857
logreg_C=1.0,0.5891891891891892,0.05267340067340068
linear_svm_C=0.1,0.572972972972973,0.044695652173913046
linear_svm_C=0.01,0.5459459459459459,0.02825174825174825
logreg_C=0.01,0.5459459459459459,0.02825174825174825
logreg_C=0.1,0.5459459459459459,0.02825174825174825
